,Y,Y1,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,Population2015,percentage_pop_perZiP
10302,0.02,0.96,0.01,0.135220142,0.687757618,0.191173304,0.004662764,0.009325527,0,0.247126466,0.009325527,0.006994145,1.291585492,19694,0
11411,0.02,0.33,0.01,0.028544807,0.516185251,0.211707315,0.007136202,0,0,0.42341463,0.004757468,0,1.191745673,20094,0
11426,0.02,0.61,0.02,0.040851031,0.50943639,0.254718195,0.002403002,0.004806004,0.002403002,0.055269042,0,0.004806004,0.87469267,20299,0
11694,0.01,0.77,0.01,0.048197358,0.804895878,0.043377622,0.004819736,0.031328283,0.002409868,0.472334108,0.009639472,0.002409868,1.419412192,20357,0
11692,0.05,0.22,-0.02,0.058373803,0.199443826,0.255385386,0.002432242,0,0,0.133773298,0.007296725,0.002432242,0.659137521,20546,0
10037,0.02,0.5,0,0.056464328,0.282321641,0.012274854,0.007364912,0.002454971,0.002454971,0.758585976,0.110473686,0.012274854,1.244670193,20738,0
11428,0.02,0.76,0.02,0.064626414,0.681062975,0.178965453,0,0.004971263,0.002485631,0.188907978,0.004971263,0,1.125990976,20997,0
11436,0.03,0.25,0.01,0.123568087,0.972770044,0.289201905,0.007887325,0.002629108,0.005258216,0.126197195,0.007887325,0,1.535399204,22209,0
11427,0.04,0.66,0.01,0.048071875,0.715736803,0.208311458,0,0,0,0.085461111,0,0,1.057581246,22560,0
10001,0,18.39,0.03,0.102191326,1.032670242,0.008067736,0.040338681,0.010756982,0,1.148307795,0.115637553,0.112948308,2.570918623,22717,0
11416,0.01,1.04,0.02,0.151373371,2.424677038,0.418979867,0.008109288,0.027030959,0,0.367621045,0.016218576,0.008109288,3.422119431,22834,0
11356,0.03,2.04,0.01,0.08172858,2.329264523,0.446782903,0,0.005448572,0,0.667450068,0.024518574,0.002724286,3.557917506,23013,0
10471,0.01,1.11,0,0.030317433,0.791009395,0.206709772,0,0,0,0.214978163,0.005512261,0.00275613,1.251283154,23282,0
10474,0,1.7,0.01,0.049968327,0.469147073,0.063848418,0,0.005552036,0,0.285929873,0.005552036,0.013880091,0.893877856,23450,0
10310,0.02,1.4,0,0.125520059,0.915725889,0.396529279,0.002852729,0.005705457,0,0.701771242,0.017116372,0,2.165221026,24098,0
10038,-0.02,5.17,-0.01,0.040148681,0.530536141,0.022942103,0.02007434,0.017206578,0,0.748486123,0.13765262,0.077429599,1.594476185,24225,0
11429,0.01,0.61,0,0.077560646,1.005415781,0.350459215,0,0.00861785,0.002872617,0.169484374,0.017235699,0.002872617,1.634518798,24266,0
10036,0.01,16.8,0.01,0.169150779,2.632223522,0.01187023,0.026708018,0.026708018,0,3.213864796,0.305658425,0.397652708,6.783836495,25068,0
10030,0.04,0.78,0,0.101367873,0.629077092,0.041739712,0.008944224,0,0,1.827603115,0.01490704,0.01490704,2.638546096,25185,0
10012,0.01,8.45,0.01,0.062912859,0.820863014,0.041941906,0.047933607,0.014979252,0.00299585,3.340373213,0.206713679,0.221692931,4.76040631,25307,0
10013,0.02,15.98,0.01,0.04340698,1.590555785,0.058909474,0.037205983,0.009301496,0.003100499,2.238559994,0.158125429,0.173627922,4.312793561,26191,0
11414,0.01,1.4,0.01,0.083727786,2.080313462,0.450841927,0.006440599,0.003220299,0.025762396,0.283386354,0.028982695,0.003220299,2.965895818,27203,0
10308,0.03,1.41,0,0.093550037,1.425831601,0.287101838,0.012903453,0.006451727,0.003225863,0.335489788,0,0,2.164554308,27250,0
10039,0.06,0.63,0,0.069525583,0.397289044,0.026485936,0,0.003310742,0,1.258081971,0.006621484,0.013242968,1.774557728,27967,0
10303,0.02,1.22,0,0.197107827,1.459934244,0.390874843,0.016704053,0.010022432,0,0.273946472,0.010022432,0.003340811,2.361953114,28221,0
11370,0.02,0.97,0.01,0.144072266,3.5548994,0.167525891,0.013402071,0.010051553,0,0.177577444,0.010051553,0.006701036,4.084281214,28303,0
10075,0.11,2.81,0.01,0.060795153,0.70927679,0.033775085,0.013510034,0.013510034,0,0.972722455,0.040530102,0.06755017,1.911669824,28531,0
11361,0.01,3.57,0.02,0.069477402,1.844625019,0.298752828,0.00347387,0.00347387,0.00347387,0.236223166,0.00347387,0.00694774,2.469921636,29345,0
11423,0.01,1.18,0,0.066077756,1.898866047,0.399944314,0.006955553,0.006955553,0.003477777,0.782499745,0.01043333,0.02086666,3.196076735,29378,0
11232,0.03,4.32,0.02,0.094510457,2.779307501,0.150516653,0.007000775,0.017501936,0.003500387,1.351149491,0.028003098,0.024502711,4.455993009,29569,0
11101,0.02,9.42,0.02,0.161066824,6.040005914,0.490203379,0.017507264,0.024510169,0.003501453,2.240929731,0.03851598,0.045518885,9.061759598,29578,0
11104,0.03,2.09,0.02,0.142804531,1.288810895,0.03213102,0.02142068,0.02142068,0,0.813985828,0.02142068,0.053551699,2.395546012,30158,0
11422,0,1.1,0.01,0.103808164,1.6794678,0.645093592,0.014829738,0.003707434,0,0.263227845,0.014829738,0.007414869,2.73237918,31318,0
10014,0.02,8.56,0.02,0.116229573,1.342264101,0.067488139,0.018746705,0.037493411,0,4.169267265,0.17621903,0.179968371,6.107676596,31672,0
10026,0.06,1.71,0.01,0.172818201,0.766411151,0.052596844,0.01502767,0.018784587,0.003756917,5.229629028,0.131492109,0.037569174,6.42808568,31736,0
10065,0.09,5.33,0.02,0.061423279,1.220787677,0.026872685,0.053745369,0,0,2.023129263,0.222659388,0.103651784,3.712269444,32429,0
11433,0.03,1.19,0.01,0.337428976,2.839057593,0.469297772,0.023270964,0.034906446,0,0.705885904,0.065934398,0.011635482,4.487417535,32763,0
10309,0.04,2.91,0,0.162105138,2.115274362,0.355840547,0,0.007907568,0.003953784,0.308395141,0.007907568,0.003953784,2.965337891,33399,0
10035,0.04,2.35,-0.01,0.211313582,1.088464301,0.075753926,0.019935244,0.011961146,0,2.547724133,0.370795531,0.083728023,4.409675885,33680,0
11417,0.03,1.63,0.01,0.249354857,3.913262513,0.723933456,0.020109263,0.012065558,0.01608741,0.896873114,0.024131115,0.004021853,5.859839138,33974,0
10010,0.01,11.53,0.03,0.072947365,0.826736808,0.032421051,0.05673684,0.016210526,0,1.426526257,0.222894728,0.109421048,2.763894622,34234,0
11369,0.04,1.25,0.01,0.165003206,5.593608695,0.25575497,0,0.020625401,0.01237524,1.076645921,0.037125721,0.033000641,7.194139796,34846,0
11378,0.02,4.67,0.01,0.318469778,7.328940872,1.364870478,0.049631654,0.020679856,0.012407913,0.591443874,0.020679856,0.004135971,9.711260252,34938,0
11217,0.04,4.85,0.03,0.099655383,3.853341479,0.199310766,0.016609231,0.016609231,0,4.476187624,0.186853843,0.124569229,8.973136786,35076,0
11231,0.05,4.6,0.02,0.170302856,2.36762507,0.157841671,0.029076097,0.008307456,0.004153728,1.528571975,0.024922369,0.008307456,4.299108679,35088,0
11418,0.02,2.95,0.01,0.200810881,5.430260918,0.581514844,0.00836712,0.03765204,0.00418356,1.275985809,0.05020272,0.0209178,7.609895694,35340,0
10022,-0.01,24.97,0.01,0.097498849,1.983889624,0.059347126,0.059347126,0.021195402,0,2.649425246,0.389995396,0.152606894,5.413305662,35809,0
11103,0.02,4.97,0.02,0.174297363,5.275683584,0.442120139,0.021255776,0.055265017,0.004251155,3.821788511,0.059516173,0.119032345,9.973210063,35911,0
11105,0.02,4.16,0.02,0.139575117,3.729272644,0.279150233,0.047978946,0.013085167,0.004361722,1.487347335,0.034893779,0.069787558,5.805452502,36845,0
11364,0.01,2.55,0.01,0.070437229,1.853379598,0.440232684,0.008804654,0,0,0.154081439,0.017609307,0.004402327,2.548947238,37188,0
11412,0.03,1.15,0,0.29812849,1.984556816,0.680800881,0.008899358,0.004449679,0.004449679,0.618505375,0.102342616,0.004449679,3.706582572,37588,0
11102,0.02,3.16,0.02,0.303181909,4.703778143,0.249679219,0.031209902,0.022292787,0,2.077687786,0.031209902,0.05350269,7.472542339,37663,0
11379,0.04,2.68,0.01,0.162911663,5.335356966,1.185634881,0.02262662,0.004525324,0.004525324,0.389177862,0.009050648,0.027151944,7.140961232,38227,0
11358,0.03,5.78,0.01,0.195510285,4.901397373,0.809321644,0.009093502,0.031827256,0.004546751,0.454675081,0.013640252,0.004546751,6.424558894,38408,0
11222,0.04,7.07,0.04,0.247045967,3.906986226,0.256195818,0.041174328,0.054899104,0.018299701,3.390019664,0.128097909,0.054899104,8.097617821,38646,0
